system,degree,monoid_order,depth,level,slot,group_order,structure_description,is_nontrivial,rep_support_size,n_tiles,rep_support_paper,tiles_paper
W_to_D,32,3084,22,11,2,1,1,false,3,3,"{22=(D:2,W:6) 23=(D:2,W:7) 31=(D:3,W:7)}","{22=(D:2,W:6) 23=(D:2,W:7)} | {22=(D:2,W:6) 31=(D:3,W:7)} | {23=(D:2,W:7) 31=(D:3,W:7)}"
W_to_D,32,3084,22,11,3,1,1,false,3,3,"{0=(D:0,W:0) 21=(D:2,W:5) 29=(D:3,W:5)}","{0=(D:0,W:0) 21=(D:2,W:5)} | {0=(D:0,W:0) 29=(D:3,W:5)} | {21=(D:2,W:5) 29=(D:3,W:5)}"
W_to_D,32,3084,22,11,4,1,1,false,3,3,"{13=(D:1,W:5) 21=(D:2,W:5) 23=(D:2,W:7)}","{13=(D:1,W:5) 21=(D:2,W:5)} | {13=(D:1,W:5) 23=(D:2,W:7)} | {21=(D:2,W:5) 23=(D:2,W:7)}"
W_to_D,32,3084,22,12,1,1,1,false,3,3,"{13=(D:1,W:5) 21=(D:2,W:5) 29=(D:3,W:5)}","{13=(D:1,W:5) 21=(D:2,W:5)} | {13=(D:1,W:5) 29=(D:3,W:5)} | {21=(D:2,W:5) 29=(D:3,W:5)}"
W_to_D,32,3084,22,12,2,1,1,false,3,3,"{9=(D:1,W:1) 17=(D:2,W:1) 29=(D:3,W:5)}","{9=(D:1,W:1) 17=(D:2,W:1)} | {9=(D:1,W:1) 29=(D:3,W:5)} | {17=(D:2,W:1) 29=(D:3,W:5)}"
W_to_D,32,3084,22,12,3,1,1,false,3,3,"{9=(D:1,W:1) 17=(D:2,W:1) 31=(D:3,W:7)}","{9=(D:1,W:1) 17=(D:2,W:1)} | {9=(D:1,W:1) 31=(D:3,W:7)} | {17=(D:2,W:1) 31=(D:3,W:7)}"
W_to_D,32,3084,22,12,4,1,1,false,3,3,"{13=(D:1,W:5) 21=(D:2,W:5) 31=(D:3,W:7)}","{13=(D:1,W:5) 21=(D:2,W:5)} | {13=(D:1,W:5) 31=(D:3,W:7)} | {21=(D:2,W:5) 31=(D:3,W:7)}"
W_to_D,32,3084,22,12,5,1,1,false,3,3,"{12=(D:1,W:4) 13=(D:1,W:5) 21=(D:2,W:5)}","{12=(D:1,W:4) 13=(D:1,W:5)} | {12=(D:1,W:4) 21=(D:2,W:5)} | {13=(D:1,W:5) 21=(D:2,W:5)}"
W_to_D,32,3084,22,12,6,1,1,false,3,3,"{9=(D:1,W:1) 17=(D:2,W:1) 18=(D:2,W:2)}","{9=(D:1,W:1) 17=(D:2,W:1)} | {9=(D:1,W:1) 18=(D:2,W:2)} | {17=(D:2,W:1) 18=(D:2,W:2)}"
W_to_D,32,3084,22,12,7,1,1,false,3,3,"{13=(D:1,W:5) 21=(D:2,W:5) 30=(D:3,W:6)}","{13=(D:1,W:5) 21=(D:2,W:5)} | {13=(D:1,W:5) 30=(D:3,W:6)} | {21=(D:2,W:5) 30=(D:3,W:6)}"
