system,window_size,depth,is_representative,permutator_order,permutator_sd,holonomy_order,holonomy_sd,n_tiles,classification,moves_D,moves_W,composite_pairs,window_paper
D_to_W,3,7,false,2,"C2",2,"C2",3,W-ONLY-inherited,false,true,"","17=(D:2,W:1) 23=(D:2,W:7) 27=(D:3,W:3)"
D_to_W,2,8,false,2,"C2",2,"C2",2,COMPOSITE,true,true,"1=(D:0,W:1)->13=(D:1,W:5) ; 13=(D:1,W:5)->1=(D:0,W:1)","1=(D:0,W:1) 13=(D:1,W:5)"
D_to_W,3,7,false,2,"C2",2,"C2",3,W-ONLY-inherited,false,true,"","9=(D:1,W:1) 18=(D:2,W:2) 19=(D:2,W:3)"
D_to_W,2,8,false,2,"C2",2,"C2",2,COMPOSITE,true,true,"13=(D:1,W:5)->18=(D:2,W:2) ; 18=(D:2,W:2)->13=(D:1,W:5)","13=(D:1,W:5) 18=(D:2,W:2)"
D_to_W,2,8,false,2,"C2",2,"C2",2,COMPOSITE,true,true,"17=(D:2,W:1)->30=(D:3,W:6) ; 30=(D:3,W:6)->17=(D:2,W:1)","17=(D:2,W:1) 30=(D:3,W:6)"
D_to_W,3,7,false,2,"C2",2,"C2",3,W-ONLY-inherited,false,true,"","1=(D:0,W:1) 3=(D:0,W:3) 12=(D:1,W:4)"
D_to_W,2,8,false,2,"C2",2,"C2",2,COMPOSITE,true,true,"3=(D:0,W:3)->13=(D:1,W:5) ; 13=(D:1,W:5)->3=(D:0,W:3)","3=(D:0,W:3) 13=(D:1,W:5)"
D_to_W,3,7,false,2,"C2",2,"C2",3,W-ONLY-inherited,false,true,"","23=(D:2,W:7) 27=(D:3,W:3) 30=(D:3,W:6)"
D_to_W,2,8,false,2,"C2",2,"C2",2,COMPOSITE,true,true,"17=(D:2,W:1)->27=(D:3,W:3) ; 27=(D:3,W:3)->17=(D:2,W:1)","17=(D:2,W:1) 27=(D:3,W:3)"
D_to_W,3,7,false,2,"C2",2,"C2",3,W-ONLY-inherited,false,true,"","9=(D:1,W:1) 13=(D:1,W:5) 19=(D:2,W:3)"
D_to_W,2,8,false,2,"C2",2,"C2",2,COMPOSITE,true,true,"9=(D:1,W:1)->18=(D:2,W:2) ; 18=(D:2,W:2)->9=(D:1,W:1)","9=(D:1,W:1) 18=(D:2,W:2)"
D_to_W,3,7,false,2,"C2",2,"C2",3,W-ONLY-inherited,false,true,"","1=(D:0,W:1) 12=(D:1,W:4) 13=(D:1,W:5)"
D_to_W,2,8,false,2,"C2",2,"C2",2,COMPOSITE,true,true,"3=(D:0,W:3)->12=(D:1,W:4) ; 12=(D:1,W:4)->3=(D:0,W:3)","3=(D:0,W:3) 12=(D:1,W:4)"
D_to_W,3,7,false,2,"C2",2,"C2",3,W-ONLY-inherited,false,true,"","17=(D:2,W:1) 23=(D:2,W:7) 30=(D:3,W:6)"
D_to_W,2,8,false,2,"C2",2,"C2",2,COMPOSITE,true,true,"23=(D:2,W:7)->27=(D:3,W:3) ; 27=(D:3,W:3)->23=(D:2,W:7)","23=(D:2,W:7) 27=(D:3,W:3)"
D_to_W,2,8,false,2,"C2",2,"C2",2,COMPOSITE,true,true,"9=(D:1,W:1)->19=(D:2,W:3) ; 19=(D:2,W:3)->9=(D:1,W:1)","9=(D:1,W:1) 19=(D:2,W:3)"
D_to_W,2,8,false,2,"C2",2,"C2",2,COMPOSITE,true,true,"1=(D:0,W:1)->12=(D:1,W:4) ; 12=(D:1,W:4)->1=(D:0,W:1)","1=(D:0,W:1) 12=(D:1,W:4)"
D_to_W,2,8,false,2,"C2",2,"C2",2,COMPOSITE,true,true,"23=(D:2,W:7)->30=(D:3,W:6) ; 30=(D:3,W:6)->23=(D:2,W:7)","23=(D:2,W:7) 30=(D:3,W:6)"
W_to_D,2,20,false,2,"C2",2,"C2",2,D-ONLY,true,false,"","9=(D:1,W:1) 17=(D:2,W:1)"
W_to_D,2,20,true,2,"C2",2,"C2",2,D-ONLY,true,false,"","4=(D:0,W:4) 12=(D:1,W:4)"
W_to_D,2,17,true,2,"C2",2,"C2",2,COMPOSITE,true,true,"10=(D:1,W:2)->19=(D:2,W:3) ; 19=(D:2,W:3)->10=(D:1,W:2)","10=(D:1,W:2) 19=(D:2,W:3)"
W_to_D,3,10,true,2,"C2",2,"C2",3,D-ONLY,true,false,"","4=(D:0,W:4) 12=(D:1,W:4) 17=(D:2,W:1)"
W_to_D,2,17,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","17=(D:2,W:1) 19=(D:2,W:3)"
W_to_D,2,17,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","17=(D:2,W:1) 23=(D:2,W:7)"
W_to_D,2,17,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","19=(D:2,W:3) 23=(D:2,W:7)"
W_to_D,2,17,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","17=(D:2,W:1) 21=(D:2,W:5)"
W_to_D,2,17,false,2,"C2",2,"C2",2,COMPOSITE,true,true,"10=(D:1,W:2)->17=(D:2,W:1) ; 17=(D:2,W:1)->10=(D:1,W:2)","10=(D:1,W:2) 17=(D:2,W:1)"
W_to_D,2,17,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","21=(D:2,W:5) 22=(D:2,W:6)"
W_to_D,2,17,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","19=(D:2,W:3) 22=(D:2,W:6)"
W_to_D,2,20,false,2,"C2",2,"C2",2,D-ONLY,true,false,"","21=(D:2,W:5) 29=(D:3,W:5)"
W_to_D,2,20,false,2,"C2",2,"C2",2,D-ONLY,true,false,"","23=(D:2,W:7) 31=(D:3,W:7)"
W_to_D,2,17,false,2,"C2",2,"C2",2,COMPOSITE,true,true,"4=(D:0,W:4)->21=(D:2,W:5) ; 21=(D:2,W:5)->4=(D:0,W:4)","4=(D:0,W:4) 21=(D:2,W:5)"
W_to_D,2,17,false,2,"C2",2,"C2",2,COMPOSITE,true,true,"4=(D:0,W:4)->17=(D:2,W:1) ; 17=(D:2,W:1)->4=(D:0,W:4)","4=(D:0,W:4) 17=(D:2,W:1)"
W_to_D,3,14,true,2,"C2",2,"C2",3,D-ONLY,true,false,"","17=(D:2,W:1) 21=(D:2,W:5) 29=(D:3,W:5)"
W_to_D,2,17,false,2,"C2",2,"C2",2,COMPOSITE,true,true,"0=(D:0,W:0)->19=(D:2,W:3) ; 19=(D:2,W:3)->0=(D:0,W:0)","0=(D:0,W:0) 19=(D:2,W:3)"
W_to_D,3,14,false,2,"C2",2,"C2",3,D-ONLY,true,false,"","4=(D:0,W:4) 12=(D:1,W:4) 23=(D:2,W:7)"
W_to_D,3,14,false,2,"C2",2,"C2",3,D-ONLY,true,false,"","9=(D:1,W:1) 10=(D:1,W:2) 17=(D:2,W:1)"
W_to_D,2,17,false,2,"C2",2,"C2",2,W-ONLY-inherited,false,true,"","21=(D:2,W:5) 23=(D:2,W:7)"
W_to_D,3,10,false,2,"C2",2,"C2",3,D-ONLY,true,false,"","10=(D:1,W:2) 23=(D:2,W:7) 31=(D:3,W:7)"
W_to_D,2,17,false,2,"C2",2,"C2",2,COMPOSITE,true,true,"4=(D:0,W:4)->23=(D:2,W:7) ; 23=(D:2,W:7)->4=(D:0,W:4)","4=(D:0,W:4) 23=(D:2,W:7)"
W_to_D,2,17,false,2,"C2",2,"C2",2,COMPOSITE,true,true,"17=(D:2,W:1)->29=(D:3,W:5) ; 29=(D:3,W:5)->17=(D:2,W:1)","17=(D:2,W:1) 29=(D:3,W:5)"
W_to_D,3,10,false,2,"C2",2,"C2",3,D-ONLY,true,false,"","9=(D:1,W:1) 17=(D:2,W:1) 19=(D:2,W:3)"
W_to_D,2,17,false,2,"C2",2,"C2",2,COMPOSITE,true,true,"17=(D:2,W:1)->31=(D:3,W:7) ; 31=(D:3,W:7)->17=(D:2,W:1)","17=(D:2,W:1) 31=(D:3,W:7)"
W_to_D,2,17,false,2,"C2",2,"C2",2,COMPOSITE,true,true,"21=(D:2,W:5)->31=(D:3,W:7) ; 31=(D:3,W:7)->21=(D:2,W:5)","21=(D:2,W:5) 31=(D:3,W:7)"
W_to_D,2,17,false,2,"C2",2,"C2",2,COMPOSITE,true,true,"0=(D:0,W:0)->29=(D:3,W:5) ; 29=(D:3,W:5)->0=(D:0,W:0)","0=(D:0,W:0) 29=(D:3,W:5)"
